"XPATH";"zugehoeriger_Feldname"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/Empfangsbestaetigung[1]/@veranlagungsjahr";"/Empfangsbestaetigung/Veranlagungsjahr"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/Statusabfrage[1]";"/Statusabfrage/Exists"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/Statusabfrage[1]/@rolle";"/Statusabfrage/Rolle"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/Statusabfrage[1]/BekanntgabeVorgangsIds[1]";"/Statusabfrage/BekanntgabeVorgangsIds/Exists"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/Statusabfrage[1]/BekanntgabeVorgangsIds[1]/BekanntgabeVorgangsId[*]";"/Statusabfrage/BekanntgabeVorgangsIds/BekanntgabeVorgangsId"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/Statusabfrage[1]/BereitstellungsTickets[1]";"/Statusabfrage/BereitstellungsTickets/Exists"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/Statusabfrage[1]/BereitstellungsTickets[1]/BereitstellungsTicket[*]";"/Statusabfrage/BereitstellungsTickets/BereitstellungsTicket"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/PostfachAnfrage[1]";"/PostfachAnfrage/Exists"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/PostfachAnfrage[1]/@von";"/PostfachAnfrage/Von"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/PostfachAnfrage[1]/@bis";"/PostfachAnfrage/Bis"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/PostfachAnfrage[1]/@einschraenkung";"/PostfachAnfrage/Einschraenkung"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/PostfachAnfrage[1]/@max";"/PostfachAnfrage/Max"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/PostfachBestaetigung[1]";"/PostfachBestaetigung/Exists"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/PostfachBestaetigung[1]/Bereitstellungen[1]";"/PostfachBestaetigung/Bereitstellungen/Exists"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/PostfachBestaetigung[1]/Bereitstellungen[1]/Bereitstellung[%3]";"/PostfachBestaetigung/Bereitstellungen/Bereitstellung/Exists"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/PostfachBestaetigung[1]/Bereitstellungen[1]/Bereitstellung[%3]/@id";"/PostfachBestaetigung/Bereitstellungen/Bereitstellung/Id"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/PostfachStatus[1]";"/PostfachStatus/Exists"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/PostfachStatus[1]/@von";"/PostfachStatus/Von"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/PostfachStatus[1]/@bis";"/PostfachStatus/Bis"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/PostfachStatus[1]/@einschraenkung";"/PostfachStatus/Einschraenkung"
