"XPATH";"zugehoeriger_Feldname"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Schuldner[1]/Email[1]";"Schuldner_Email"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/Bezeichnung[1]";"Berater_Bezeichnung"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/Name[1]";"Berater_Name"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/Vorname[1]";"Berater_Vorname"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/Namensvorsatz[1]";"Berater_Namensvorsatz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/Namenszusatz[1]";"Berater_Namenszusatz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/Titel[1]";"Berater_Titel"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/Str[1]";"Berater_Str"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/Hausnummer[1]";"Berater_Hausnummer"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/HNrZusatz[1]";"Berater_HNrZusatz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/Anschriftenzusatz[1]";"Berater_Anschriftenzusatz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/Ort[1]";"Berater_Ort"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/PLZ[1]";"Berater_PLZ"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/AuslandsPLZ[1]";"Berater_AuslandsPLZ"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/Land[1]";"Berater_Land"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/PostfachOrt[1]";"Berater_PostfachOrt"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/Postfach[1]";"Berater_Postfach"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/PostfachPLZ[1]";"Berater_PostfachPLZ"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/GKPLZ[1]";"Berater_GKPLZ"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/Telefon[1]";"Berater_Telefon"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/Email[1]";"Berater_Email"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/AnmZtr[1]";"AnmZtr"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/ArPlNr[1]";"ArPlNr"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/BArt[1]";"BArt"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/BuStNr[1]";"BuStNr"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/StNrVorh[1]";"StNrVorh"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/WID[1]";"WID"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEZSt[1]";"KapEZSt"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEZStSt[1]";"KapEZStSt"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEZStSz[1]";"KapEZStSz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEDiv[1]";"KapEDiv"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEDivSt[1]";"KapEDivSt"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEDivSz[1]";"KapEDivSz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapESch25[1]";"KapESch25"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapESch25St[1]";"KapESch25St"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapESch25Sz[1]";"KapESch25Sz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapESchErst44b6S1bis3St[1]";"KapESchErst44b6S1bis3St"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapESchErst44b6S1bis3Sz[1]";"KapESchErst44b6S1bis3Sz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/GewVertBeschl[1]/GewVertBeschlDat[1]";"GewVertBeschlDat"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/GewVertBeschl[1]/GewVertBeschlBet[1]";"GewVertBeschlBet"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/GewVertBeschl[1]/GewVertBeschlTag[1]";"GewVertBeschlTag"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapESch15[1]";"KapESch15"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapESch15St[1]";"KapESch15St"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapESch15Sz[1]";"KapESch15Sz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapWertSchSt[1]";"KapWertSchSt"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapWertSchSz[1]";"KapWertSchSz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/KSum[1]";"KSum"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K010100[1]";"K010100"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K010200[1]";"K010200"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K010300[1]";"K010300"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K010400[1]";"K010400"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K010500[1]";"K010500"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K010600[1]";"K010600"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K010800[1]";"K010800"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K010900[1]";"K010900"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K011000[1]";"K011000"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K011100[1]";"K011100"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K011200[1]";"K011200"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K011300[1]";"K011300"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K011400[1]";"K011400"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K011500[1]";"K011500"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K011600[1]";"K011600"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K011700[1]";"K011700"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K011900[1]";"K011900"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K012000[1]";"K012000"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K012300[1]";"K012300"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K012400[1]";"K012400"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K025100[1]";"K025100"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K025200[1]";"K025200"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K025300[1]";"K025300"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K025400[1]";"K025400"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K025500[1]";"K025500"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K025600[1]";"K025600"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K025700[1]";"K025700"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K025800[1]";"K025800"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K025900[1]";"K025900"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K026000[1]";"K026000"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K026100[1]";"K026100"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K026200[1]";"K026200"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K026300[1]";"K026300"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K026400[1]";"K026400"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K026500[1]";"K026500"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K026600[1]";"K026600"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K026700[1]";"K026700"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K026800[1]";"K026800"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K026900[1]";"K026900"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K027000[1]";"K027000"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K027100[1]";"K027100"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K027200[1]";"K027200"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K027300[1]";"K027300"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K027400[1]";"K027400"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K027500[1]";"K027500"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K027600[1]";"K027600"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K027700[1]";"K027700"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K027800[1]";"K027800"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K033200[1]";"K033200"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K044000[1]";"K044000"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K044100[1]";"K044100"
