Bundesland;Gemeindeschluessel;Gemeinde;Gemarkung;Gemarkungsnummer
SH;01061001;Aasbüttel;Aasbüttel;012001
SH;01061001;Aasbüttel;Oldenbüttel;012091
SH;01058001;Achterwehr;Felde;012644
SH;01058001;Achterwehr;Hohenschulen;012601
SH;01058001;Achterwehr;Klein-Nordsee;012645
SH;01058001;Achterwehr;Marutendorf;012602
SH;01054001;Achtrup;Achtrup;015501
SH;01054001;Achtrup;Lütjenhorn;015539
SH;01061002;Aebtissinwisch;Aebtissinwisch;012002
SH;01061003;Agethorst;Agethorst;012003
SH;01058175;Ahlefeld-Bistensee;Ahlefeld;010003
SH;01058175;Ahlefeld-Bistensee;Bistensee;010034
SH;01058175;Ahlefeld-Bistensee;Bistensee (See);010036
SH;01058175;Ahlefeld-Bistensee;Damendorf;010079
SH;01059102;Ahneby;Ahneby;011001
SH;01059102;Ahneby;Sterup;011213
SH;01059102;Ahneby;Sörup;011210
SH;01062001;Ahrensburg;Ahrensburg;015001
SH;01062001;Ahrensburg;Ahrensfelde;015002
SH;01055001;Ahrensbök;Ahrensbök;010501
SH;01055001;Ahrensbök;Ahrensbök-Vorwerk;010502
SH;01055001;Ahrensbök;Barghorst;010504
SH;01055001;Ahrensbök;Böbs;010510
SH;01055001;Ahrensbök;Cashagen;010514
SH;01055001;Ahrensbök;Dakendorf;010517
SH;01055001;Ahrensbök;Dunkelsdorf;010519
SH;01055001;Ahrensbök;Gießelrade;010526
SH;01055001;Ahrensbök;Gnissau;010528
SH;01055001;Ahrensbök;Grebenhagen;010532
SH;01055001;Ahrensbök;Havekost;010540
SH;01055001;Ahrensbök;Hohenhorst;010543
SH;01055001;Ahrensbök;Holstendorf;010544
SH;01055001;Ahrensbök;Lebatz;010557
SH;01055001;Ahrensbök;Neuhof-Vorwerk;010568
SH;01055001;Ahrensbök;Schwienkuhlen;010591
SH;01055001;Ahrensbök;Schwochel;010592
SH;01055001;Ahrensbök;Siblin;010595
SH;01055001;Ahrensbök;Spechserholz;010599
SH;01055001;Ahrensbök;Tankenrade;010603
SH;01054002;Ahrenshöft;Ahrenshöft;011501
SH;01054003;Ahrenviöl;Ahrenviöl;011502
SH;01054004;Ahrenviölfeld;Ahrenviölfeld;011599
SH;01051001;Albersdorf;Albersdorf;013001
SH;01053001;Albsfelde;Albsfelde;017001
SH;01054005;Alkersum;Alkersum;015502
SH;01054006;Almdorf;Almdorf;011598
SH;01059001;Alt Bennebek;Alt Bennebek;018001
SH;01058003;Alt Duvenstedt;Alt Duvenstedt;010006
SH;01058003;Alt Duvenstedt;Lohe-Föhrden;010250
SH;01058003;Alt Duvenstedt;Neu Duvenstedt;010285
SH;01058003;Alt Duvenstedt;Rickert;010354
SH;01053002;Alt-Mölln;Alt-Mölln;017004
SH;01058004;Altenhof;Altenhof;010010
SH;01058004;Altenhof;Aschau;010014
SH;01058004;Altenhof;Marienthal;010269
SH;01058005;Altenholz;Friedrichshof;010111
SH;01058005;Altenholz;Holtenau;010191
SH;01058005;Altenholz;Kaltenhof;010205
SH;01058005;Altenholz;Klausdorf;010218
SH;01058005;Altenholz;Knoop;010225
SH;01058005;Altenholz;Projensdorf;010485
SH;01058005;Altenholz;Stift;010411
SH;01055002;Altenkrempe;Hasselburg-Altenkrempe;014066
SH;01055002;Altenkrempe;Kassau;014078
SH;01055002;Altenkrempe;Mühlenkamp;014120
SH;01055002;Altenkrempe;Plunkau;014138
SH;01055002;Altenkrempe;Sibstin;014166
SH;01055002;Altenkrempe;Sierhagen;014167
SH;01055002;Altenkrempe;Stolpe;014176
SH;01061004;Altenmoor;Altenmoor;012004
SH;01060002;Alveslohe;Alveslohe;019003
SH;01060002;Alveslohe;Kaden;019055
SH;01062090;Ammersbek;Bünningstedt;015020
SH;01062090;Ammersbek;Hoisbüttel;015051
SH;01056001;Appen;Appen;016501
SH;01056001;Appen;Esingen;016622
SH;01056001;Appen;Moorrege;016654
SH;01056001;Appen;Prisdorf;016662
SH;01051002;Arkebek;Arkebek;013004
SH;01054007;Arlewatt;Arlewatt;011503
SH;01060003;Armstedt;Armstedt;019004
SH;01059002;Arnis;Arnis;018003
SH;01058007;Arpsdorf;Arpsdorf;014501
SH;01057001;Ascheberg (Holstein);Ascheberg;016002
SH;01057001;Ascheberg (Holstein);Kalübbe;016080
SH;01057001;Ascheberg (Holstein);Langenrade;016097
SH;01057001;Ascheberg (Holstein);Plöner See;016128
SH;01058008;Ascheffel;Ascheffel;010015
SH;01058008;Ascheffel;Bistensee;010035
SH;01058009;Aukrug;Bargfeld;014502
SH;01058009;Aukrug;Böken;014506
SH;01058009;Aukrug;Bünzen;014516
SH;01058009;Aukrug;Homfeld;014542
SH;01058009;Aukrug;Innien;014544
SH;01053003;Aumühle;Sachsenwald;017219
SH;01059103;Ausacker;Ausacker;011002
SH;01061005;Auufer;Auufer;012005
SH;01054009;Aventoft;Aventoft;015507
SH;01051003;Averlak;Averlak;013006
SH;01060004;Bad Bramstedt;Bad Bramstedt;019015
SH;01060004;Bad Bramstedt;Fuhlendorf;019224
SH;01060004;Bad Bramstedt;Lentföhrden;019225
SH;01062004;Bad Oldesloe;Altfresenburg;015005
SH;01062004;Bad Oldesloe;Blumendorf;015015
SH;01062004;Bad Oldesloe;Neufresenburg;015081
SH;01062004;Bad Oldesloe;Oldesloe;015092
SH;01062004;Bad Oldesloe;Poggensee;015097
SH;01062004;Bad Oldesloe;Rethwischfeld;015105
SH;01062004;Bad Oldesloe;Schadehorn;015109
SH;01062004;Bad Oldesloe;Seefeld;015115
SH;01062004;Bad Oldesloe;Sehmsdorf;015116
SH;01062004;Bad Oldesloe;Wolkenwehe;015149
SH;01055004;Bad Schwartau;Cleve;010515
SH;01055004;Bad Schwartau;Groß Parin;010534
SH;01055004;Bad Schwartau;Rensefeld;010582
SH;01055004;Bad Schwartau;Schwartau;010590
SH;01060005;Bad Segeberg;Högersdorf;019153
SH;01060005;Bad Segeberg;Klein Niendorf;019064
SH;01060005;Bad Segeberg;Mielsdorf;019240
SH;01060005;Bad Segeberg;Schackendorf;019241
SH;01060005;Bad Segeberg;Segeberg;019103
SH;01062003;Badendorf;Badendorf;015007
SH;01061006;Bahrenfleth;Bahrenfleth;012006
SH;01061006;Bahrenfleth;Hodorf;012164
SH;01060006;Bahrenhof;Bahrenhof;019005
SH;01060006;Bahrenhof;Bühnsdorf;019236
SH;01051004;Bargenstedt;Bargenstedt;013007
SH;01062005;Bargfeld-Stegen;Bargfeld;015008
SH;01062005;Bargfeld-Stegen;Elmenhorst;015208
SH;01062005;Bargfeld-Stegen;Jersbek-Gut;015221
SH;01062005;Bargfeld-Stegen;Nienwohld;015230
SH;01062005;Bargfeld-Stegen;Stegen;015121
SH;01058010;Bargstall;Bargstall;010019
SH;01058011;Bargstedt;Bargstedt;010021
SH;01058011;Bargstedt;Himmelreich;010167
SH;01058011;Bargstedt;Holtdorf;010189
SH;01058011;Bargstedt;Holtdorfer Gehege;010190
SH;01062006;Bargteheide;Bargteheide;015009
SH;01062006;Bargteheide;Klein Hansdorf;015223
SH;01054010;Bargum;Bargum;011504
SH;01060007;Bark;Bark;019006
SH;01060007;Bark;Hartenholm;019166
SH;01060007;Bark;Heidmühlen;019165
SH;01060007;Bark;Schafhaus;019095
SH;01058012;Barkelsby;Aukamp;010018
SH;01058012;Barkelsby;Barkelsby;010023
SH;01058012;Barkelsby;Hemmelmark;010165
SH;01058012;Barkelsby;Hohenstein;010182
SH;01058012;Barkelsby;Louisenberg;010252
SH;01058012;Barkelsby;Mohrberg;010278
SH;01058012;Barkelsby;Neubarkelsby;010280
SH;01058012;Barkelsby;Sophienruhe;010399
SH;01051005;Barkenholm;Barkenholm;013301
SH;01051006;Barlt;Barlt;013008
SH;01051006;Barlt;Kannemoorfelde;013246
SH;01051006;Barlt;Trennewurth;013290
SH;01057002;Barmissen;Barmissen;016004
SH;01057002;Barmissen;Fiefhusen;016040
SH;01056002;Barmstedt;Barmstedt;016504
SH;01056002;Barmstedt;Bokholt;016607
SH;01056002;Barmstedt;Heede;016633
SH;01062008;Barnitz;Benstaben;015013
SH;01062008;Barnitz;Groß Barnitz;015034
SH;01062008;Barnitz;Klein Barnitz;015058
SH;01062008;Barnitz;Lokfeld;015071
SH;01057003;Barsbek;Barsbek;012701
SH;01062009;Barsbüttel;Barsbüttel;015011
SH;01062009;Barsbüttel;Stellau;015125
SH;01062009;Barsbüttel;Stemwarde;015126
SH;01062009;Barsbüttel;Willinghusen;015146
SH;01053006;Basedow;Basedow;017012
SH;01053007;Basthorst;Basthorst-Dorf;017013
SH;01053007;Basthorst;Basthorst-Haupthof;017014
SH;01060008;Bebensee;Bebensee;019008
SH;01060008;Bebensee;Neversdorf;019163
SH;01053008;Behlendorf;Behlendorf;017016
SH;01053008;Behlendorf;Hollenbek;017108
SH;01054011;Behrendorf;Behrendorf;011506
SH;01057004;Behrensdorf (Ostsee);Behrensdorf;016008
SH;01057004;Behrensdorf (Ostsee);Kembs;016082
SH;01057004;Behrensdorf (Ostsee);Stöfs;016182
SH;01057004;Behrensdorf (Ostsee);Waterneverstorf;016199
SH;01061007;Beidenfleth;Beidenfleth;012007
SH;01061008;Bekdorf;Bekdorf;012008
SH;01061010;Bekmünde;Bekmünde;012010
SH;01061010;Bekmünde;Heiligenstedten;012160
SH;01061010;Bekmünde;Stördorf;012191
SH;01057005;Belau;Belau;016009
SH;01057005;Belau;Perdöl;016127
SH;01057005;Belau;Ruhwinkel;016155
SH;01058013;Beldorf;Beldorf;010028
SH;01058013;Beldorf;Großenbornholt;010133
SH;01057006;Bendfeld;Bendfeld;012702
SH;01058014;Bendorf;Bendorf;010029
SH;01058014;Bendorf;Holstenniendorf;010188
SH;01058014;Bendorf;Oersdorf;010305
SH;01058014;Bendorf;Oldenbüttel;010309
SH;01058014;Bendorf;Thaden;010419
SH;01059005;Bergenhusen;Bergenhusen;018006
SH;01059005;Bergenhusen;Wohlde;018287
SH;01051008;Bergewöhrden;Bergewöhrden;013303
SH;01058015;Beringstedt;Beringstedt;010030
SH;01058015;Beringstedt;Todenbüttel;010428
SH;01053009;Berkenthin;Groß Berkenthin;017071
SH;01053009;Berkenthin;Klein Berkenthin;017124
SH;01053009;Berkenthin;Kählstorf;017116
SH;01055006;Beschendorf;Beschendorf;014014
SH;01055006;Beschendorf;Nienrade;014131
SH;01061011;Besdorf;Besdorf;012013
SH;01053010;Besenthal;Besenthal;017021
SH;01053010;Besenthal;Sarnekow;017233
SH;01056003;Bevern;Bevern;016505
SH;01056003;Bevern;Ekholt;016616
SH;01056004;Bilsen;Bilsen;016506
SH;01060009;Bimöhlen;Bimöhlen;019009
SH;01058016;Bissee;Bissee;014503
SH;01057007;Blekendorf;Blekendorf-Sechendorf;016012
SH;01057007;Blekendorf;Friederikenthal;016045
SH;01057007;Blekendorf;Friedrichsleben;016048
SH;01057007;Blekendorf;Futterkamp;016049
SH;01057007;Blekendorf;Kaköhl;016078
SH;01057007;Blekendorf;Nessendorf;016116
SH;01057007;Blekendorf;Rathlau;016147
SH;01057007;Blekendorf;Sehlendorf (Dorf);016170
SH;01057007;Blekendorf;Sehlendorf (Hpthf.);016171
SH;01053011;Bliestorf;Bliestorf;017022
SH;01053011;Bliestorf;Grinau;017296
SH;01061012;Blomesche Wildnis;Blomesche Wildnis;012014
SH;01061012;Blomesche Wildnis;Borsfleth;012198
SH;01061012;Blomesche Wildnis;Glückstadt;012158
SH;01058018;Blumenthal;Blumenthal;012603
SH;01058018;Blumenthal;Sprenge;012604
SH;01060010;Blunk;Blunk;019011
SH;01060010;Blunk;Muggesfelde;019170
SH;01054012;Bohmstedt;Bohmstedt;011508
SH;01058021;Bokel;Bokel;010041
SH;01056006;Bokel;Bokel;016509
SH;01058021;Bokel;Brammer;010056
SH;01058021;Bokel;Ellerdorf;010094
SH;01058021;Bokel;Kleinvollstedt;010219
SH;01058021;Bokel;Wildes Moor;010445
SH;01061013;Bokelrehm;Bokelrehm;012015
SH;01061013;Bokelrehm;Gribbohm;012201
SH;01061013;Bokelrehm;Kohlenbek;012059
SH;01056008;Bokholt-Hanredder;Barmstedt;016601
SH;01056008;Bokholt-Hanredder;Bokholt;016511
SH;01056008;Bokholt-Hanredder;Kl.Offenseth-Sparrieshoop;016642
SH;01056008;Bokholt-Hanredder;Kölln-Reisiek;016646
SH;01061014;Bokhorst;Bendorf;012011
SH;01061014;Bokhorst;Bokhorst;012016
SH;01061014;Bokhorst;Kohlenbek;012168
SH;01061014;Bokhorst;Vaale;012192
SH;01057010;Boksee;Boksee;012703
SH;01059010;Bollingstedt;Bollingstedt;018012
SH;01059010;Bollingstedt;Gammellund;018040
SH;01054013;Bondelum;Bondelum;011509
SH;01060011;Boostedt;Boostedt;014508
SH;01060011;Boostedt;Großenaspe;014591
SH;01060011;Boostedt;Halloher Gehege;014538
SH;01054014;Bordelum;Bordelum;011510
SH;01058022;Bordesholm;Bordesholm;014510
SH;01058022;Bordesholm;Brügge;014602
SH;01058022;Bordesholm;Dosenmoor;014519
SH;01058022;Bordesholm;Eiderstede;014526
SH;01058022;Bordesholm;Mühbrook;014551
SH;01058022;Bordesholm;Wattenbek;014601
SH;01059187;Boren;Boren;018013
SH;01059187;Boren;Ekenis;018028
SH;01059187;Boren;Ketelsby;018057
SH;01059187;Boren;Kiesby;018058
SH;01059187;Boren;Kius;018233
SH;01059187;Boren;Lindau;018070
SH;01058023;Borgdorf-Seedorf;Borgdorf-Seedorf;010045
SH;01058023;Borgdorf-Seedorf;Krogaspe;010237
SH;01058023;Borgdorf-Seedorf;Langwedel;010241
SH;01058023;Borgdorf-Seedorf;Nortorf;010300
SH;01058024;Borgstedt;Borgstedt;010050
SH;01058024;Borgstedt;Lehmbek;010243
SH;01054015;Borgsum;Borgsum;015508
SH;01059012;Borgwedel;Borgwedel;018014
SH;01059012;Borgwedel;Schlei;018263
SH;01058025;Bornholt;Großenbornholt;010132
SH;01058025;Bornholt;Lütjenbornholt;010257
SH;01060012;Bornhöved;Bornhöved;019012
SH;01060012;Bornhöved;Tarbek;019171
SH;01061015;Borsfleth;Blomesche Wildnis;012153
SH;01061015;Borsfleth;Borsfleth;012017
SH;01060013;Borstel;Borstel;019013
SH;01056009;Borstel-Hohenraden;Borstel-Hohenraden;016512
SH;01056009;Borstel-Hohenraden;Ellerhoop;016680
SH;01056009;Borstel-Hohenraden;Himmelmoor;016637
SH;01056009;Borstel-Hohenraden;Pinneberg;016679
SH;01053013;Borstorf;Borstorf;017024
SH;01053013;Borstorf;Groß Schretstaken;017082
SH;01053013;Borstorf;Koberg-Borstorfer Forst;017140
SH;01055007;Bosau;Bichel;010507
SH;01055007;Bosau;Bosau;010509
SH;01055007;Bosau;Braak;010511
SH;01055007;Bosau;Brackrade;010512
SH;01055007;Bosau;Hassendorf;010539
SH;01055007;Bosau;Hutzfeld;010546
SH;01055007;Bosau;Kieckbusch;010548
SH;01055007;Bosau;Klein Neudorf;010549
SH;01055007;Bosau;Klenzau;010552
SH;01055007;Bosau;Liensfeld;010558
SH;01055007;Bosau;Löja;010559
SH;01055007;Bosau;Majenfelde;010561
SH;01055007;Bosau;Quisdorf;010580
SH;01055007;Bosau;Thürk;010605
SH;01055007;Bosau;Wöbs;010610
SH;01054016;Bosbüll;Bosbüll;015509
SH;01057011;Bothkamp;Bothkamp;016011
SH;01058026;Bovenau;Bovenau-Wakendorf;010054
SH;01058026;Bovenau;Ehlersdorf;010088
SH;01058026;Bovenau;Georgenthal;010115
SH;01058026;Bovenau;Kluvensiek;010224
SH;01058026;Bovenau;Ostenfeld;010317
SH;01058026;Bovenau;Osterrade;010320
SH;01058026;Bovenau;Steinwehr;010410
SH;01062011;Braak;Braak;015018
SH;01054017;Braderup;Braderup;015511
SH;01058027;Brammer;Brammer;010055
SH;01058027;Brammer;Thienbüttel;010420
SH;01054018;Bramstedtlund;Bramstedt;015512
SH;01056010;Brande-Hörnerkirchen;Bokelseß;016510
SH;01056010;Brande-Hörnerkirchen;Brande-Hörnerkirchen;016513
SH;01056010;Brande-Hörnerkirchen;Kl.Offenseth-Bokels. Moor;016644
SH;01058028;Bredenbek;Bossee;012605
SH;01058028;Bredenbek;Bredenbek-Bredenmoor;012606
SH;01058028;Bredenbek;Kronsburg;012607
SH;01054019;Bredstedt;Bredstedt;011511
SH;01058029;Breiholz;Breiholz;010059
SH;01058029;Breiholz;Lütjenwestedt;010259
SH;01061016;Breitenberg;Breitenberg;012019
SH;01061017;Breitenburg;Breitenburg;012020
SH;01061017;Breitenburg;Nordoe;012085
SH;01053014;Breitenfelde;Breitenfelde;017025
SH;01058030;Brekendorf;Ahlefeld;010004
SH;01058030;Brekendorf;Brekendorf;010061
SH;01054020;Breklum;Breklum;011512
SH;01051010;Brickeln;Brickeln;013015
SH;01051010;Brickeln;Großenrade;013234
SH;01058031;Brinjahe;Brinjahe;010063
SH;01058031;Brinjahe;Hamweddel;010157
SH;01058031;Brinjahe;Nienborstel;010291
SH;01058032;Brodersby;Brodersby;010065
SH;01058032;Brodersby;Höxmark;010174
SH;01058032;Brodersby;Kopperby;010233
SH;01058032;Brodersby;Olpenitz;010313
SH;01058032;Brodersby;Schönhagen;010376
SH;01059189;Brodersby-Goltoft;Brodersby;018019
SH;01059189;Brodersby-Goltoft;Geel;018041
SH;01059189;Brodersby-Goltoft;Goltoft;018043
SH;01059189;Brodersby-Goltoft;Schlei;018264
SH;01059189;Brodersby-Goltoft;Taarstedt;018276
SH;01059189;Brodersby-Goltoft;Ulsnis;018285
SH;01057012;Brodersdorf;Brodersdorf;012704
SH;01061018;Brokdorf;Brokdorf;012021
SH;01061019;Brokstedt;Brokstedt;012022
SH;01062088;Brunsbek;Kronshorst;015064
SH;01062088;Brunsbek;Langelohe;015066
SH;01062088;Brunsbek;Ohe;015233
SH;01062088;Brunsbek;Papendorf;015094
SH;01051011;Brunsbüttel;Auenbüttel;013207
SH;01051011;Brunsbüttel;Brunsbüttel;013016
SH;01051011;Brunsbüttel;Ramhusen;013277
SH;01053016;Brunsmark;Brunsmark;017029
SH;01053017;Brunstorf;Brunstorf;017031
SH;01053017;Brunstorf;Hamwarde-Gut;017101
SH;01053017;Brunstorf;Sachsenwald;017223
SH;01053015;Bröthen;Bröthen;017028
SH;01058033;Brügge;Brügge;014514
SH;01058033;Brügge;Eiderstede;014590
SH;01051012;Buchholz;Buchholz;013013
SH;01053018;Buchholz;Buchholz;017032
SH;01060014;Buchholz, Forstgutsbezirk;Fehrenbötel;019179
SH;01060014;Buchholz, Forstgutsbezirk;Glashütte;019031
SH;01060014;Buchholz, Forstgutsbezirk;Hartenholm;019180
SH;01060014;Buchholz, Forstgutsbezirk;Hasenmoor;019181
SH;01060014;Buchholz, Forstgutsbezirk;Heidmühlen;019182
SH;01060014;Buchholz, Forstgutsbezirk;Schafhaus;019183
SH;01060014;Buchholz, Forstgutsbezirk;Wahlstedt;019184
SH;01053019;Buchhorst;Buchhorst;017034
SH;01053019;Buchhorst;Lauenburg;017163
SH;01056011;Bullenkuhlen;Barmstedt;016602
SH;01056011;Bullenkuhlen;Bullenkuhlen;016514
SH;01051015;Bunsoh;Bunsoh;013018
SH;01051016;Burg (Dithmarschen);Burg;013019
SH;01059018;Busdorf;Busdorf;018021
SH;01059018;Busdorf;Schlei;018265
SH;01059018;Busdorf;Schleswig;018268
SH;01051017;Busenwurth;Busenwurth;013020
SH;01053004;Bäk;Bäk;017006
SH;01053005;Bälau;Bälau;017009
SH;01059006;Böel;Böel;018009
SH;01059006;Böel;Böelschuby;018010
SH;01058019;Böhnhusen;Böhnhusen;014505
SH;01059008;Böklund;Böklund;018008
SH;01057008;Bönebüttel;Bönebüttel -6694;014641
SH;01057008;Bönebüttel;Bönebüttel -6695;014642
SH;01057008;Bönebüttel;Bönebüttel -6793;014643
SH;01057008;Bönebüttel;Bönebüttel -6794;014644
SH;01057008;Bönebüttel;Bönebüttel -6795;014645
SH;01057008;Bönebüttel;Bönebüttel -6893;014647
SH;01057008;Bönebüttel;Bönebüttel -6894;014648
SH;01057008;Bönebüttel;Bönebüttel -6895;014649
SH;01057008;Bönebüttel;Bönebüttel -6896;014650
SH;01057008;Bönebüttel;Bönebüttel -6994;014651
SH;01057008;Bönebüttel;Bönebüttel -6995;014652
SH;01057008;Bönebüttel;Bönebüttel -6996;014653
SH;01057008;Bönebüttel;Bönebüttel -7094;014654
SH;01057008;Bönebüttel;Bönebüttel -7095;014655
SH;01057008;Bönebüttel;Bönebüttel -7096;014656
SH;01057008;Bönebüttel;Bönebüttel -7193;014658
SH;01057008;Bönebüttel;Bönebüttel -7194;014659
SH;01057008;Bönebüttel;Bönebüttel -7195;014657
SH;01057008;Bönebüttel;Bönebüttel -7196;014660
SH;01057008;Bönebüttel;Bönebüttel -7295;014661
SH;01057008;Bönebüttel;Bönebüttel -7296;014662
SH;01057008;Bönebüttel;Husberg -6792;014680
SH;01057008;Bönebüttel;Husberg -6793;014681
SH;01057008;Bönebüttel;Husberg -6892;014682
SH;01057008;Bönebüttel;Husberg -6893;014683
SH;01057008;Bönebüttel;Husberg -6894;014684
SH;01057008;Bönebüttel;Husberg -6992;014685
SH;01057008;Bönebüttel;Husberg -6993;014686
SH;01057008;Bönebüttel;Husberg -6994;014687
SH;01057008;Bönebüttel;Husberg -7092;014688
SH;01057008;Bönebüttel;Husberg -7093;014689
SH;01057008;Bönebüttel;Husberg -7094;014690
SH;01057008;Bönebüttel;Husberg -7192;014691
SH;01057008;Bönebüttel;Husberg -7193;014692
SH;01057008;Bönebüttel;Husberg -7194;014693
SH;01057008;Bönebüttel;Husberg -7292;014694
SH;01057008;Bönebüttel;Husberg -7293;014695
SH;01057008;Bönebüttel;Husberg -7392;014696
SH;01057008;Bönebüttel;Husberg -7393;014697
SH;01056005;Bönningstedt;Bönningstedt;016508
SH;01056005;Bönningstedt;Hasloh;016632
SH;01059009;Börm;Börm;018011
SH;01059009;Börm;Neu-Börm;018081
SH;01053012;Börnsen;Börnsen;017023
SH;01057009;Bösdorf;Augstfelde;016003
SH;01057009;Bösdorf;Börnsdorf;016014
SH;01057009;Bösdorf;Bösdorf;016015
SH;01057009;Bösdorf;Friedrichshof;016046
SH;01057009;Bösdorf;Hohenrade;016073
SH;01057009;Bösdorf;Meinsdorf;016110
SH;01057009;Bösdorf;Niederkleveez;016123
SH;01057009;Bösdorf;Oberkleveez;016124
SH;01057009;Bösdorf;Plöner See;016304
SH;01059105;Böxlund;Böxlund;011169
SH;01053020;Büchen;Büchen;017036
SH;01053020;Büchen;Nüssau;017200
SH;01053020;Büchen;Pötrau;017203
SH;01058034;Büdelsdorf;Borgstedt;010051
SH;01058034;Büdelsdorf;Büdelsdorf;010068
SH;01058034;Büdelsdorf;Rickert;010355
SH;01060015;Bühnsdorf;Altengörs;019173
SH;01060015;Bühnsdorf;Bahrenhof;019172
SH;01060015;Bühnsdorf;Bühnsdorf;019018
SH;01058035;Bünsdorf;Bünsdorf;010071
SH;01058035;Bünsdorf;Neu Duvenstedt;010286
SH;01058035;Bünsdorf;Schirnau;010371
SH;01058035;Bünsdorf;Steinrade;010408
SH;01058035;Bünsdorf;Wentorf;010441
SH;01051013;Büsum;Büsum;013305
SH;01051013;Büsum;Deichhausen;013403
SH;01051013;Büsum;Westerdeichstrich;013434
SH;01051014;Büsumer Deichhausen;Büsum;013401
SH;01051014;Büsumer Deichhausen;Deichhausen;013307
SH;01051014;Büsumer Deichhausen;Oesterdeichstrich;013414
SH;01061020;Büttel;Büttel;012023
SH;01058036;Christiansholm;Christiansholm;010075
SH;01061021;Christinenthal;Christinenthal;012024
SH;01061021;Christinenthal;Reher;012187
SH;01054022;Dagebüll;Dagebüll;015513
SH;01054022;Dagebüll;Fahretoft;015519
SH;01054022;Dagebüll;Juliane-Marienkoog;015529
SH;01054022;Dagebüll;Waygaard;015564
SH;01055010;Dahme;Dahme;014030
SH;01055010;Dahme;Guttauer Gehege;014303
SH;01053021;Dahmker;Dahmker;017037
SH;01060016;Daldorf;Alterfrade;019002
SH;01060016;Daldorf;Pettluis;019087
SH;01053022;Dalldorf;Dalldorf;017040
SH;01058039;Damendorf;Damendorf;010078
SH;01055011;Damlos;Damlos;014031
SH;01055011;Damlos;Sebent;014163
SH;01061023;Dammfleth;Beidenfleth;012152
SH;01061023;Dammfleth;Dammfleth;012026
SH;01058040;Damp;Damp;010080
SH;01058040;Damp;Dorotheental;010083
SH;01058040;Damp;Grüntal;010474
SH;01058040;Damp;Pommerby-Schwastrum;010335
SH;01058040;Damp;Schuby;010377
SH;01060017;Damsdorf;Damsdorf;019019
SH;01057013;Dannau;Dannau;016023
SH;01057013;Dannau;Gowens;016056
SH;01059019;Dannewerk;Groß Dannewerk;018045
SH;01059019;Dannewerk;Klein Dannewerk;018062
SH;01059019;Dannewerk;Kurburg;018068
SH;01059019;Dannewerk;Schleswig;018269
SH;01053023;Dassendorf;Dassendorf;017043
SH;01062014;Delingsdorf;Delingsdorf;015022
SH;01051019;Dellstedt;Dellstedt;013309
SH;01051019;Dellstedt;Tielenauthal;013427
SH;01051020;Delve;Delve;013310
SH;01057015;Dersau;Dersau;016026
SH;01051021;Diekhusen-Fahrstedt;Diekhusen-Fahrstedt;013108
SH;01051022;Dingen;Dingen;013023
SH;01057016;Dobersdorf;Dobersdorf;016028
SH;01057016;Dobersdorf;Jasdorf;016077
SH;01057016;Dobersdorf;Lilienthal;016101
SH;01057016;Dobersdorf;Schädtbek;016158
SH;01057016;Dobersdorf;Tökendorf;016187
SH;01059106;Dollerup;Dollerup;011013
SH;01059106;Dollerup;Grundhof;011193
SH;01059106;Dollerup;Langballig;011236
SH;01059106;Dollerup;Terkelstoft;011145
SH;01059106;Dollerup;Westerholz;011238
SH;01054023;Drage;Drage;011631
SH;01061024;Drage;Drage;012027
SH;01060018;Dreggers;Altengörs;019226
SH;01060018;Dreggers;Bühnsdorf;019227
SH;01060018;Dreggers;Dreggers;019021
SH;01054024;Drelsdorf;Drelsdorf;011516
SH;01054025;Dunsum;Dunsum;015514
SH;01053025;Duvensee;Duvensee;017046
SH;01053025;Duvensee;Göldenitz;017063
SH;01053025;Duvensee;Niendorf bei Berkenthin;017195
SH;01061022;Dägeling;Dägeling;012025
SH;01061022;Dägeling;Kremperheide;012172
SH;01058037;Dänischenhagen;Dänischenhagen;010076
SH;01058037;Dänischenhagen;Eckhof;010087
SH;01058037;Dänischenhagen;Kaltenhof;010206
SH;01058037;Dänischenhagen;Scharnhagen;010368
SH;01058037;Dänischenhagen;Sturenhagen;010415
SH;01058037;Dänischenhagen;Uhlenhorst;010433
SH;01058038;Dätgen;Dätgen;014517
SH;01058038;Dätgen;Schönbeker Moor;014563
SH;01057017;Dörnick;Dörnick;016029
SH;01057017;Dörnick;Karpe;016081
SH;01057017;Dörnick;Plön;016303
SH;01058042;Dörphof;Damp;010081
SH;01058042;Dörphof;Dörphof;010082
SH;01058042;Dörphof;Grüntal;010146
SH;01058042;Dörphof;Höxmark;010175
SH;01058042;Dörphof;Karlberg;010210
SH;01058042;Dörphof;Karlsburg;010212
SH;01058042;Dörphof;Schuby;010378
SH;01058042;Dörphof;Schwonendahl;010387
SH;01051023;Dörpling;Dörpling;013311
SH;01051023;Dörpling;Pahlen;013417
SH;01051023;Dörpling;Tielenauthal;013367
SH;01059020;Dörpstedt;Dörpstedt;018023
SH;01053024;Düchelsdorf;Düchelsdorf;017045
SH;01058043;Eckernförde;Altenhof;010486
SH;01058043;Eckernförde;Borby;010044
SH;01058043;Eckernförde;Eckernförde;010084
SH;01058043;Eckernförde;Gammelby;010114
SH;01058043;Eckernförde;Louisenberg;010253
SH;01058043;Eckernförde;Marienthal;010270
SH;01058043;Eckernförde;Rögen;010356
