"XPATH";"zugehoeriger_Feldname"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Berater[1]/Namensvorsatz[1]";"Berater_Namensvorsatz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Berater[1]/Namenszusatz[1]";"Berater_Namenszusatz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Berater[1]/Titel[1]";"Berater_Titel"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Berater[1]/Str[1]";"Berater_Str"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Berater[1]/Hausnummer[1]";"Berater_Hausnummer"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Berater[1]/HNrZusatz[1]";"Berater_HNrZusatz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Berater[1]/Anschriftenzusatz[1]";"Berater_Anschriftenzusatz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Berater[1]/Ort[1]";"Berater_Ort"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Berater[1]/PLZ[1]";"Berater_PLZ"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Berater[1]/AuslandsPLZ[1]";"Berater_AuslandsPLZ"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Berater[1]/Land[1]";"Berater_Land"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Berater[1]/PostfachOrt[1]";"Berater_PostfachOrt"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Berater[1]/Postfach[1]";"Berater_Postfach"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Berater[1]/PostfachPLZ[1]";"Berater_PostfachPLZ"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Berater[1]/GKPLZ[1]";"Berater_GKPLZ"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Berater[1]/Telefon[1]";"Berater_Telefon"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Berater[1]/Email[1]";"Berater_Email"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/BuStNr[1]";"BuStNr"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/WID[1]";"WID"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/BArt[1]";"BArt"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/ArPlNr[1]";"ArPlNr"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/AnmZtr[1]";"AnmZtr"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/ZwischenAusschuettungVon[1]";"ZwischenAusschuettungVon"
